	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#cefe	0.06880898326210828	0.0077991452991453	1.0	16065.655466215321	0.08406517360844286	13	1300	1	0.28248198516648204	minor	Ceferino	0.007799145299145303	person	2798	23	14	46	14	other	M	3	0	0	0	0	1	0	0	0.9285714285714286	0.0005570818070818072	1.0	bette053_Munoz_Ortiz	14
#vale	0.08603988603988612	0.0077991452991453	1.0	16065.655466215318	0.08406517360844283	13	1300	1	0.28248198516648204	minor	Valentina	0.007799145299145303	person	5945	30	22	103	3	other	F	3	0	0	0	0	1	0	0	0.9285714285714286	0.0005570818070818072	0.21428571428571427	bette053_Munoz_Ortiz	14
#eulo	0.06800921879046883	0.0010683760683760683	0.8125	10216.571961544809	0.06961247886728657	10	1000	2	0.2252546739679683	minor	Eulogia	0.0010683760683760674	person	2208	14	14	39	6	other	F	3	0	0	0	0	1	0	0	0.7142857142857143	7.63125763125763e-05	0.42857142857142855	bette053_Munoz_Ortiz	14
#celc	0.09244902955840467	0.006730769230769231	0.9285714285714286	13884.723768383608	0.08122206319321708	12	1200	2	0.26260681390277935	minor	Celcina	0.0067307692307692355	person	5185	27	16	64	4	other	F	3	0	0	0	0	1	0	0	0.8571428571428571	0.0004807692307692308	0.2857142857142857	bette053_Munoz_Ortiz	14
#juan	0.06400574252136756	0.0077991452991453	1.0	16065.655466215318	0.08406517360844291	13	1300	1	0.28248198516648204	secondary	Juan	0.007799145299145303	person	19459	42	30	136	10	other	M	2	0	0	0	0	0	0	0	0.9285714285714286	0.0005570818070818072	0.7142857142857143	bette053_Munoz_Ortiz	14
#ever	0.06678544256669257	0.003632478632478632	0.9285714285714286	14185.255386033408	0.07851903705269093	12	1200	2	0.2654333977824056	minor	Everilda	0.003632478632478634	person	3842	24	19	58	5	other	F	3	0	0	0	0	1	0	0	0.8571428571428571	0.00025946275946275946	0.35714285714285715	bette053_Munoz_Ortiz	14
#amar	0.08725516381766389	0.0077991452991453	1.0	16065.655466215314	0.08406517360844294	13	1300	1	0.28248198516648204	primary	Amaranto	0.007799145299145303	person	18190	57	25	147	8	protagonist	M	1	1	0	0	1	0	0	0	0.9285714285714286	0.0005570818070818072	0.5714285714285714	bette053_Munoz_Ortiz	14
#amil	0.07094755649443148	0.0010683760683760683	0.8125	10216.57196154481	0.06961247886728672	10	1000	2	0.2252546739679683	minor	Amílcar	0.0010683760683760674	person	3430	25	12	39	13	other	M	3	0	0	0	0	1	0	0	0.7142857142857143	7.63125763125763e-05	0.9285714285714286	bette053_Munoz_Ortiz	14
#flor	0.08735643696581202	0.006730769230769231	0.9285714285714286	13884.723768383608	0.08122206319321712	12	1200	2	0.26260681390277935	minor	Flora	0.0067307692307692355	person	1412	17	12	18	7	other	F	3	0	0	0	0	1	0	0	0.8571428571428571	0.0004807692307692308	0.5	bette053_Munoz_Ortiz	14
#todo	0.07614405270655276	0.0077991452991453	1.0	16065.65546621532	0.08406517360844291	13	1300	1	0.28248198516648204	minor	Todos	0.007799145299145303	person	1222	0	13	22	17	other	0	3	0	0	0	0	1	0	0	0.9285714285714286	0.0005570818070818072	1.2142857142857142	bette053_Munoz_Ortiz	14
#prod	0.07048864041051546	0.003632478632478632	0.9285714285714286	14185.255386033416	0.07851903705269091	12	1200	2	0.26543339778240554	secondary	Prodosia	0.003632478632478634	person	7470	39	15	74	2	other	F	2	0	0	0	0	0	0	0	0.8571428571428571	0.00025946275946275946	0.14285714285714285	bette053_Munoz_Ortiz	14
#puli	0.08247144926832438	0.003632478632478632	0.9285714285714286	14185.255386033416	0.07851903705269081	12	1200	2	0.26543339778240554	secondary	Pulido	0.003632478632478634	person	3333	38	12	46	12	other	M	2	0	0	0	0	0	0	0	0.8571428571428571	0.00025946275946275946	0.8571428571428571	bette053_Munoz_Ortiz	14
#casa	0.08226384437321944	0.0077991452991453	1.0	16065.65546621532	0.08406517360844287	13	1300	1	0.28248198516648204	minor	Casado	0.007799145299145303	person	15617	15	31	191	15	other	M	3	0	0	0	0	1	0	0	0.9285714285714286	0.0005570818070818072	1.0714285714285714	bette053_Munoz_Ortiz	14
#aten	0.07887873122248126	0.003632478632478632	0.9285714285714286	14185.255386033412	0.0785190370526909	12	1200	2	0.26543339778240554	secondary	Ateneo	0.003632478632478634	person	4819	21	11	53	11	other	M	2	0	0	0	0	0	0	0	0.8571428571428571	0.00025946275946275946	0.7857142857142857	bette053_Munoz_Ortiz	14
