	Source	Target	Weight	Type
13	scene_4	scene_5	11.0	Undirected
9	scene_3	scene_4	5.0	Undirected
10	scene_3	scene_5	5.0	Undirected
17	scene_5	scene_7	5.0	Undirected
15	scene_4	scene_7	5.0	Undirected
16	scene_5	scene_6	4.0	Undirected
14	scene_4	scene_6	4.0	Undirected
8	scene_2	scene_7	3.0	Undirected
12	scene_3	scene_7	2.0	Undirected
11	scene_3	scene_6	2.0	Undirected
0	scene_1	scene_3	2.0	Undirected
1	scene_1	scene_4	2.0	Undirected
6	scene_2	scene_5	2.0	Undirected
5	scene_2	scene_4	2.0	Undirected
4	scene_1	scene_7	2.0	Undirected
2	scene_1	scene_5	2.0	Undirected
7	scene_2	scene_6	1.0	Undirected
3	scene_1	scene_6	1.0	Undirected
18	scene_6	scene_7	1.0	Undirected
